text;topic;predicted;extra;not_predicted
9322;строительство и архитектура,строительство;право;право;строительство и архитектура,строительство
3213;спорт;спорт;;
7269;спорт;спорт;;
1706;политика и общественная жизнь;политика и общественная жизнь;;
11422;криминал;криминал,политика и общественная жизнь;политика и общественная жизнь;
4014;происшествия;спорт;спорт;происшествия
10326;строительство и архитектура,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство и архитектура,строительство
9996;право,администрация и управление;экономика;экономика;администрация и управление,право
2030;право;право;;
1172;происшествия;спорт;спорт;происшествия
10069;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес;;бизнес, коммерция, экономика, финансы,экономика
2097;наука и технологии;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;наука и технологии
366;сельское хозяйство,политика и общественная жизнь;сельское хозяйство,политика и общественная жизнь;;
10038;политика и общественная жизнь;политика и общественная жизнь;;
4143;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1242;здоровье и медицина;здоровье и медицина;;
1470;происшествия;происшествия;;
5868;техника,экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;техника
1349;производство;экономика;экономика;производство
9910;энергетика,частная жизнь,политика и общественная жизнь;администрация и управление;администрация и управление;энергетика,частная жизнь,политика и общественная жизнь
11610;политика и общественная жизнь;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы,путешествия;бизнес,экономика,путешествия,бизнес, коммерция, экономика, финансы;
3144;транспорт,спорт;транспорт,спорт;;
11172;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
4741;дом и домашнее хозяйство;дом и домашнее хозяйство;;
11411;политика и общественная жизнь;частная жизнь;частная жизнь;политика и общественная жизнь
5530;криминал;частная жизнь;частная жизнь;криминал
6248;спорт;спорт;;
3198;происшествия;криминал;криминал;происшествия
9584;наука и технологии;наука и технологии,строительство,строительство и архитектура;строительство,строительство и архитектура;
904;спорт;спорт;;
