text;topic;predicted;extra;not_predicted
9322;строительство и архитектура,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство,строительство и архитектура
3213;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
7269;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
1706;политика и общественная жизнь;политика и общественная жизнь;;
11422;криминал;искусство и культура;искусство и культура;криминал
4014;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
10326;строительство и архитектура,строительство;строительство,строительство и архитектура;;
9996;право,администрация и управление;частная жизнь;частная жизнь;администрация и управление,право
2030;право;частная жизнь;частная жизнь;право
1172;происшествия;транспорт,спорт;транспорт,спорт;происшествия
10069;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
2097;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
366;сельское хозяйство,политика и общественная жизнь;политика и общественная жизнь;;сельское хозяйство
10038;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
4143;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1242;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
1470;происшествия;происшествия;;
5868;техника,экономика,бизнес,бизнес, коммерция, экономика, финансы;администрация и управление;администрация и управление;техника,экономика,бизнес,бизнес, коммерция, экономика, финансы
1349;производство;политика и общественная жизнь;политика и общественная жизнь;производство
9910;энергетика,частная жизнь,политика и общественная жизнь;политика и общественная жизнь;;энергетика,частная жизнь
11610;политика и общественная жизнь;политика и общественная жизнь;;
3144;транспорт,спорт;спорт;;транспорт
11172;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;экономика,бизнес
4741;дом и домашнее хозяйство;дом и домашнее хозяйство;;
11411;политика и общественная жизнь;политика и общественная жизнь;;
5530;криминал;спорт;спорт;криминал
6248;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
3198;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
9584;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
904;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
3474;религия;политика и общественная жизнь;политика и общественная жизнь;религия
10457;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
7106;политика и общественная жизнь;политика и общественная жизнь;;
6262;образование,политика и общественная жизнь;политика и общественная жизнь;;образование
10145;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
8431;природа,происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия,природа
4535;администрация и управление,транспорт,спорт;администрация и управление;;транспорт,спорт
7203;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
11628;политика и общественная жизнь;политика и общественная жизнь;;
7440;здоровье и медицина,экономика,бизнес,бизнес, коммерция, экономика, финансы;здоровье и медицина;;экономика,бизнес,бизнес, коммерция, экономика, финансы
10422;искусство и культура;искусство и культура;;
7749;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
3712;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
2920;здоровье и медицина;здоровье и медицина;;
3528;транспорт,спорт;администрация и управление;администрация и управление;транспорт,спорт
3526;политика и общественная жизнь;политика и общественная жизнь;;
10570;производство;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;производство
4532;политика и общественная жизнь;политика и общественная жизнь;;
2545;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
3191;политика и общественная жизнь;политика и общественная жизнь;;
11417;администрация и управление,политика и общественная жизнь;администрация и управление;;политика и общественная жизнь
6550;право;политика и общественная жизнь;политика и общественная жизнь;право
2413;происшествия;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;происшествия
11275;право;политика и общественная жизнь;политика и общественная жизнь;право
