,id,signer_id,text,len,city,age
0,350901,,"ПЕРВОЕ ВОСХОЖДЕНИЕ ОТ [club54566161|БРОДЯГ ДХАРМЫ]! ? В ИЮНЕ при сотрудничестве с [club7111554|Climbing Brothers] мы отправляемся на Кавказ, для Восхождения на Эльбрус. Стоимость путешествия – 25 000 рублей.Вас ждут:? Лучшие гиды, которым действительно можно доверить жизнь.? Восхождение по южному склону — что позволяет подняться на Эльбрус с меньшими затратами сил и с наибольшей вероятностью восхождения.? Тренировка по технике хождения в кошках и работе с ледорубом? Самые душевные вечера со своими Бродягами, именно здесь соберется тот дримтим, который ты всегда хотел найти!? С высоты Эльбруса, вам откроется вид на непрерывную горную цепь - Кавказский хребет, который простирается на 1100 км! Даты: 4-15 июня Маршрут похода тут: https://vk.com/topic-144592851_35206582 Присоединяйся к нам, такое нельзя упустить! Все подробности на нашем сайте: http://dharmastore.ru/elbrus ??",128,,
1,353884,17453271.0,"То,что с нами происходит,это судьба? Или то,что с нами происходит,это всё результаты и последствия наших прошлых действий? Эффекты бабочек. Мы те ,кто мы есть и в нашем положении потому что ,так оно случилось само ибо должно? Или ты полностью виновен в том , кто ты и где? Мне больше нравится второй вариант.Потому что я не верю в судьбу.Не верю что твой путь создан за тебя в не зависимости от твоего предпочтения. Я верю в выбор,в маятник в твоей голове, стрелка которого качается влево-вправо между словами ""Да"" или ""Нет"" каждый раз когда ты стоишь перед выбором выйти за рамки своего комфорта и сделать что-то. А вы шлёте себе письма из прошлого? Маленькие капсулы времени.Давай вернёмся немного назад! 1 Ноября 2016 года я ,попращавшись с работой в родном городе, прилетел в Корею чтобы найти работу. На следующий день я поднялся в обсерваторию Телебашни Сеула и встретил там ящик для отправки писем.Вы наверняка знаете этот прием -в туристических местах ставить почтовый ящик,чтобы посетители тратили деньги на открытки.Вот и я себе 2 ноября 2016 года отправил в Новосибирск открытку:""Привет Илья,пишу тебе из прошлого! Надеюсь у тебя всё получилось.Надеюсь ты нашёл работу.."" -На пятый день пребывания в Корее я нашел там работу чтобы заработать на дальнейшее путешествие. ""..Надеюсь ты отправился во Вьетнам...""Из Сеула я полетел в центральный Вьетнам,откуда доехал на юг до Сайгона. И после я пересёк границу Камбоджи..."" Если ты также нашёл работу в Сиануквиль или Патайа, то ты просто обязан сделать то,чего давно хотел,но постоянно откладывал..."" Мои финансы плавились на солнце пока я добирался до Сиануквиля.Здесь я работу не нашёл и даже не искал ,потому что в Сиануквиле -мысли о работе это последнее что посещает твою голову. Что-то говорило мне ,что я должен доехать до Патая и там уже разбираться с этим.В Сиануквиле я познакомился с Allison из Seattle. Мы собирались ехать в AngkorWat как однажды после наших бургеров на берегу я обнаружил что потерял своих Бенджаминов,и остался только с 40$ в кармане. Чтож пора ехать в Таиланд искать работу. В Таиланде я нашел работу на 3 день. Я собирался найти что-нибудь простое чтобы накопить на дорогу дальше(Моя цель была:посетить Сингапур),но я нашел такую работу которая мне понравилась.Пока я был в Таиланде,из Новосибирска до меня доехала моя открытка посланная в Новосибирск из Сеула .Я совершенно про неё забыл. И тем более я забыл, что значит последняя фраза:"" Если ты нашел работу в Корее.Если ты также нашёл работу в Сиануквиль или Патайа, то ты просто обязан сделать то,чего давно хотел,но постоянно откладывал... - Чего же я так давно хотел ,но постоянно откладывал? За тот период пока я вспоминал и работал в Таиланде, я посетил Малайзию, Сингапур ,Лаос,Макао и Гонконг..Денег стало достаточно и я стал оплачивать себе билеты предстоящих поездок.Я также оплатил себе билет на музыкальный фестиваль где будет играть моя любимая рокгруппа. Прошло 6 месяцев с тех пор как я написал открытку и до тех пор как я вспомнил.. Только после того как я оплатил себе все билеты, следующего путешествия, После того как мой друг решил присоединиться и поехать в следующую поездку со мной. Я понял что: . Концерт моей любимой группы ,это и есть то,что я постоянно хотел,но постоянно откладывал. 3 раза у меня была возможность съездить на их концерт,но постоянно находилось что-то, что не давало мне это сделать.И теперь я не могу свернуть, потому что тогда я нарушу слово,данное самому себе."" то ты просто обязан это сделать..""Я решил что останусь в Азии,но сперва мне нужно посетить этот музыкальный фестиваль.И так судьба ли это- то как всё сложилось, или так сложилось благодаря результатам и последствиям моих действий? Уверен ли я был что получится все именно так ,как я пол года назад написал себе в открытке? Или я просто надеялся на чудо? Кто бы не был прав на этих двух фронтах,в любом случае мы те, кто мы есть.И если судьба существует-не лишним будет ей подзадать направление туда где ты и кем ты хочешь быть.",685,,
2,353877,6150369.0,"«Как организовать путешествие автостопом». Всем привет! Я часто читаю группы про путешествия и понимаю, что у многих людей автостоп вызывает много вопросов, люди хотят попробовать, но боятся, не понимают, как можно организовать такое путешествие, как за какой-то срок точно успеть съездить в путешествие. Абсолютно реально успеть и съездить. Я решила написать статью про разные, так сказать, технические моменты передвижения автостопом. В основном это касается России. В других странах всегда нужно смотреть специфику. У меня не так много опыта передвижения автостопом, но зато хватает опыта в организации путешествий, и организовывая собственный автостоп, обычно я доезжала до места, уложившись в те сроки, которые и планировала. Время, проведенное на природе, обычно ассоциируется у меня с красотой мест, а не с проблемами, вызванными неподготовленностью к путешествию, я затрону и тему пребывания на природе. Сколько км в день планировать? Я считаю, что минимум 700 км по равнине можно смело заложить, если вы выходите на трассу в 7-9 утра, до 21-22 вы точно проедете указанное расстояние. Если вы девушка, поедете чуть быстрее, парень или парой – помедленнее, но все равно успеете проехать 700 км, в обычной местности, где довольно много машин. Если вы в горах, эта математика может сильно измениться из-за серпантина, перевалов и т.п., даже если асфальт будет идеальным. Я бы заложила 500 км по асфальту в горах. Если это дикие места без дорог, по которым можно ездить только на подготовленном транспорте, то в этом случае крайне сложно запланировать, потому что нужно учитывать и количество машин в день. Может звучать смешно, но есть места, где не каждый день едет машина. Не советую туда ездить, если для вас важны точные сроки. Если вы готовы ехать ночью, то математика поменяется, но ночью желание людей вас подвозить обычно уменьшается, как и количество машин, и немного снижается безопасность такого путешествия. Также вы обычно теряете возможность полноценно отдохнуть при таком раскладе. Где ночевать? Если никого знакомых нет в очередном городе, то можно вписываться через коачсерфинг, обсуждения в профильных группах, к знакомым знакомых, бывает, попутчики- водители предлагают ночлег – но это вариант на везение. Некоторые просто стучатся в дома, и просятся переночевать, но я этот способ ни разу не использовала. Я люблю путешествовать на природу, и я почти всегда беру с собой палатку, но ночую в ней в основном только тогда, когда достигаю более-менее диких природных мест. Обычно я еду с ней, так как конечным пунктом чаще всего и являются разные природные точки, но иногда и без нее, когда еду в город, и знаю, что буду жить в городе. Что с едой? Тут могут быть разные варианты. Кафе. Обычно кафе, где припаркованы несколько фур, приемлемы. Второй вариант – бананы, бутерброды и прочее, что не нужно готовить. Третий, и я считаю, самый нормальный вариант – котелок, горелка, пачка крупы, если кратко, и вкусняшки. На один прием пищи, к примеру, обычно считают 100 г гречки, или 80 г риса. И с собой я обычно всегда беру 2 литра воды на человека, за один день они всегда уходят. Просто в течение дня обычно всегда встречается место, где ты можешь пополнить запасы воды. Этого хватает и попить, и поесть в не слишком жаркую погоду. Для меня третий вариант наиболее предпочтителен, потому что делает меня абсолютно автономной, если я ночую где-то недалеко от трассы, и встаю в 4-5 утра, я всегда могу приготовить себе завтрак и горячий чай в считанные минуты. Часто беру с собой и термос. Что брать из снаряжения, как такового? В этом случае все очень индивидуально, я беру обычно 2 рюкзака: первый – большой, 80 литров, там палатка, спальник, теплые вещи, еда, сменная обувь, гигиенические принадлежности, второй – небольшой рюкзак (сам он весом г 50-100), где фотик, вода, вкусняшки, может быть, головной убор или кофта, документы. Со вторым рюкзаком я не расстаюсь никогда. Обувь и одежду я смотрю из сезона и района, куда направляюсь, обычно это, как минимум, треккинговые ботинки, либо горные ботинки. Чаще всего, теплый жилет или легкий пуховик тоже беру. Дождевик. Большой рюкзак очень желательно, чтобы был с накидкой от дождя. Если рюкзак мокнет, соответственно он довольно сильно тяжелеет, как и вещи в нем, если не упакованы в непромокаемые пакеты/гермомешки. Если едете впервые, сильно советую погулять по городу со всем, что запланировали брать в путешествие, часов так 5. Обычно это может вас замотивировать выкинуть действительно лишние вещи. Где мыться? Летом без проблем можно помыться в речках, озерах и т.п. В городах вы обычно где-то ночуете, соответственно, проблемы такой нет. Зимой желание помыться возникает пореже, если едете в горы куда-то, можно посмотреть базы отдыха в районе с банями, чтобы можно было помыться при навязчивом желании привести себя в порядок. Полотенце лучше брать самое минимальное, чтобы вес был меньше и быстро сохло. Если полотенце остается мокрым долго, оно станет плохо пахнуть. Для девочек всегда может быть искушением набрать побольше косметики, но что вам действительно может пригодиться – крем, желательно универсальный для рук и лица, солнцезащитный крем, гигиеническая помада. Некоторые девочки хвалят сухие шампуни, я пока не пробовала, но вес привлекает. Аптечки – индивидуальный вопрос, но если идете в горы, желательно иметь эластичный бинт 1-2 шт., пластыри, перевязочный материал, как минимум. Дальше – из личных предпочтений. Я обычно в путешествиях не особо болею, поэтому беру с собой расширенную аптеку только когда путешествую группой, или в другие страны. Также немного к теме здоровья относится вода, во многих местах вы можете набирать воду прямо из рек и ручьев и пить сырую, но на равнинных местностях советую кипятить даже проточную воду, а стоячую воду кипятить не менее 5 минут. Также есть местности, где, например, был ртутный рудник, и пить из реки рядом вообще не рекомендуется. Нужно почитать побольше о районе, куда вы направляетесь, изучить его. Рекомендую в России делать прививку от клещей и страховку. Полис ОМС нужно взять с собой. Взаимодействие с природой. Тут есть минимальный набор правил, чтобы своим присутствием меньше вредить природе. Многие знают о них, но не все, поэтому пишу. Не ломайте живые деревья и кусты, желательно брать сухостой или вообще ветки, которые сами отвалились от деревьев. В природных парках и заповедниках запрещается использовать сухостой, иногда и разводить костры, лучше запастись горелкой и газом. Не оставляйте горящих костров после себя, тушите, не бросайте бычки где попало, если курите. Помимо того, что это мусор, от бычка в пожароопасный сезон могут загореться квадратные километры леса и степи, погибнет множество животных, а при сильном ветре – и люди тоже могут погибнуть. Мусор желательно не оставлять и не сжигать пластиковые пакеты, самым лучшим способом будет унести весь мусор с собой. Обычно это мусор от еды, но после того, как вы съели еду, упаковка весит крайне мало. Захватите мусорные пакеты, и унесите с собой. Банки от тушенки можно обжечь в костре и закопать в землю. Сейчас выпускаются марки тушенки в фольге – вес гораздо меньше. Водоемы. Чтобы не вредить водоему, если он большой, вы можете использовать хозяйственное мыло или детское мыло без отдушек. Если водоем маленький, то даже такое мыло нужно стараться не спускать в водоем. Шампуни, зубные пасты, мыло с отдушками, средства вроде фэйри – однозначно не подходят для слива в водоемы. Для мытья посуды отлично использовать траву, песок, даже камни, в автопутешествие можно взять горчицу с содой, если сильно любите средства для мытья посуды. Если вы сильно хотите постирать, то можно намочить вещь, намылить, и освободить ее от мыла, можно поливая из кружки или другой емкости на некотором отдалении от водоема. В некоторых местностях деревья вообще не растут, для таких мест подходит только горелка с газом или другим топливом (все мои знакомые, которые ходили в серьезные походы с обеими видами горелок, говорили, что на газу готовить гораздо проще, чище и приятней). Кизяк невозможно растопить без дров или сухих веток. Безопасность. Повышает безопасность – ездить в компании с другом/подругой, в светлое время суток. Как только вы понимаете мотив, почему вас взял ваш попутчик, это тоже повышает безопасность. У разных людей эти мотивы разные. С трезвыми во всех смыслах водителями ездить безопаснее. Также можно записывать гос. номера машины и посылать смс-кой друзьям. В случае чего – упоминать об этом. Повышает безопасность четко очерчивать личные границы и для девушек свободная, местами мешковатая даже одежда, закрывающая тело максимально, отсутствие макияжа и излишнего кокетства. Желательно очень хорошо изучить пространство, по которому вы едете – номера трасс, населенные пункты по пути, большие развилки, чтобы быть уверенными в том, что вы едете в нужном направлении. Уважение и интерес к попутчикам тоже повышает безопасность, а также уважение к жителям тех мест, куда вы приехали. Насчет диких животных можно особенно не беспокоиться. Старайтесь смотреть под ноги, чтобы не наступить на змей, но я таковых видела только в погожие солнечные деньги, греющимися на камнях – обычно это были районы скалолазания. Медведи и волки обычно не лезут к человеку, при встрече с медведем бежать категорически не рекомендуется, на некоторых рюкзаках есть свистки для таких встреч, также можно использовать петарды, но они должны быть сильно близко под рукой, как и огонь для поджигания их. О встречах с волками я слышала гораздо реже, чем о встречах с медведями, и обычно очень издалека, говорят, что они не любят запаха дыма и если разложите бычки рядом с палаткой на ночь, они и близко не подойдут (еще одна причина унести бычки с собой). При ночевках рядом с трассой желательно уйти далеко от трассы, чтобы вас не было видно с дороги и никто не знал, где вы собрались ночевать, не видел вас по дороге. По поводу возможного воровства – желательно не складывать рюкзак в багажник, а самое основное иметь при себе – телефон, документы, деньги. Не знаю, насколько актуален этот пункт, не слышала о воровстве рюкзаков от знакомых. Но на всякий случай я стараюсь пореже складывать рюкзак в багажник – и чаще в салон. По поводу связи – сотовая связь есть далеко не везде, как и стабильный интернет, нужно быть к этому готовыми. Этот пост не претендует на научность, я вполне могла забыть или упустить какие-то моменты, но надеюсь, что пост будет полезен. Спасибо за внимание! Приложенные фоточки из путешествий автостопом. География фото - Алтай, Тыва, Хакасия, Красноярский край.",1639,144,
3,353868,5475761.0,"Ганеш Химал.Удивительное и яркое путешествие в не туристический регион Непала между Лангтангом и Манаслу, через год после землетрясения.#Непал",20,,
4,353864,23769314.0,"Велосипедист - не автостопщикВот уже 7 дней как мы начали велосипедное путешествие из Германии на север. Всю эту неделю нас окружали потрясающие люди, очень добрые и особенные события. 1. Погода. Чертовски изменчива. Ночью температура опускается до нуля, днем +10-15°. От града было немного больно (особенно по лицу), ливень показал, что не все у нас еще водонепроницаемо, как должно быть, солнышко один день нас полностью высушило, а в другой почти не показывалось. Ну а про ветер велосипедист может стихи писать! Он всегда есть и, кажется, всегда в лицо.2. Старый велосипед. Новый велосипед. Мы ведь собирались купить новые велосипеды.. Но кто-то из нас еврей (или их два), и вот один велосипед нам достался в бесплатное пользование, а другой мы купили за 40 €. Новые нам бы обошлись в 200-300€ каждый. Так что мы хорошо съэкономили, как вы понимаете. Зато, мы не жалели денег на инструменты! Потому что почти ничего не работает идеально и мы часто ремонтируемся. 3. Расстояния. В первый день мы преодолели 95 км, это было нелегко, но, в целом, возможно. В последующие, старались проезжать 60-70 км в день. Успевали отдыхать, хорошо обедать, чаевничать в приятных местах и получать удовольствие.4. Впечатления. Их масса. Едешь медленно, смотришь медленно. Как правило, дорожки деревенские и одинокие, хотя хорошо асфальтированы. Встречались зайчики, белочки и косули. Здесь чаще всего поля, но иной раз приятно ехать среди сосновых лесочков. Много озер. Бабушка Эльба. И небо! Такое разное. 5. Запахи. Это то, что сводит меня с ума и в обычной жизни, а здесь... Это то, что я бы хотела хранить и уметь разделить с другими. Сейчас цветут яблони, черемуха и много чего-то другого. И это то, чем невозможно проникнуться в машине. Хотя конечно, мы иногда проезжаем и конюшни и фермы с коровками :)6. Музыка. Это моя большая страсть. То, чего в этом путешествии сильно не хватает. Однако, природная музыка и тишина - это то, с чем я никогда не проводила так много времени. Это помогает раскладывать мысли по полочкам и как будто даже очищает. А еще поскольку, мы почти всегда одни в какой-нибудь глуши - я пою сама, пока кручу педали, так громко, как нравится и это шикарное чувство!7. Люди. В городах и деревнях нам улыбаются и приветствуют, часто что-то спрашивают, иной раз я успеваю попросить перевести на английский, иногда мы просто глупо улыбаемся и не понимаем. Часто встречаются другие велосипедисты и желают удачи. Иногда, сигналят и машут из машин. Люди уважают этот способ путешествия и это приятно. О людях, которые позволяли нам переночевать в их домах, я расскажу отдельно, потому что это была невероятная доброта и гостеприимство от незнакомцев. (http://vk.com/topi_top_top)",432,158,25
5,353836,38099560.0,Чудная ночьКрым.Демерджи 2017,4,185,23
6,353800,3095009.0,"Что есть любовь, ответьте мне! Быть может самоотреченье? А может блеск в других глазах, В которых видишь отраженье?Или же это все вокруг:Дыханье солнца, шум прибоя?А может это верный друг, Что не что бросает в поле боя?А может это из земли цветок, Что пробудился раннею весной, Не побоявшись быть убитым на повал,Из-за угла таившейся, зимой? А вдруг, журчащий смех родных, Который не услышишь боле?Храня лишь в памяти своей Осколки дней, где вместе вы на воле.А если это нежная рука, Что трепетно ласкает кожу? Объятья, шёпот средь ночи Прекрасной девы, делящей с тобою ложе?А может это просто запах звёзд Который ни когда не досягаем?Или забота бархатной травы, Которую всем телом ощущаем? Вот это вот хочу я и узнать. И с этой целью изучаю мир в скитаньях. Живу. Люблю. Ищу. Творю.И наслаждаюсь жизнью в разных одеяньях.#ваше_творчество@dharma_bums Фото небосвода с Бзерпинского карниза. Красная поляна.",152,1906578,
7,353793,,"Думаю, что вряд ли скоро вернусь в цивилизацию. Природа меня не утомляет. Напротив, я все более наслаждаюсь ее красотой и жизнью странника, которую веду. Я предпочитаю трамваю седло, крыше – звездное небо. Неясный трудный путь в неведомое для меня милее любой мощеной дороги, а глубокий мир природы куда приятней суеты городов. Как ты можешь винить меня за то, что я остаюсь здесь, в месте, которому принадлежу, в котором чувствую единение с миром? Это правда, что мне не хватает общества разумных существ, но среди них так мало с кем можно разделить важные для меня вещи, что я выучился хранить их при себе. Достаточно и того, что я окружен красотою…Даже из твоих коротких зарисовок мне ясно, что я не смогу выносить рутину и однообразие жизни, которую ты принужден влачить. Не думаю, что когда-либо смогу остепениться. Я уже почерпнул слишком многое из глубин жизни, и что угодно предпочту возврату к прежнему существованию.Последнее письмо, полученное от Эверетта Рюсса его братом Уолдо, датированное 11 ноября 1934 года",164,,
8,353784,8322035.0,"Снега местами очень много, ветра страшные, людей нет вообще, но красота неописуемая... Карпаты. Боржава. Наши дни.",16,,
9,353761,,Fran?ois Romain,2,,
